FECHA_ACCIDENTE,Atropello,Caida Ocupante,Choque,Incendio,Otro,Volcamiento
2015-09-20,9,10,39,0,13,3
2015-09-21,8,9,108,0,13,8
2015-09-22,16,11,78,0,8,3
2015-09-23,10,7,89,0,13,3
2015-09-24,18,14,92,0,11,8
2015-09-25,13,14,87,0,6,10
2015-09-26,13,12,79,0,9,5
2015-09-27,8,7,53,0,13,6
2015-09-28,10,14,92,0,9,4
2015-09-29,13,15,91,0,11,0
2015-09-30,16,14,90,0,14,4
2015-10-01,4,25,96,0,22,6
2015-10-02,18,3,104,0,12,3
2015-10-03,10,11,94,0,6,2
2015-10-04,7,5,54,0,14,2
2015-10-05,12,6,100,0,10,3
2015-10-06,17,11,90,0,15,5
2015-10-07,12,6,88,0,11,6
2015-10-08,12,14,86,0,12,3
2015-10-09,16,8,76,0,10,4
2015-10-10,14,8,94,0,13,4
2015-10-11,11,11,42,0,6,12
2015-10-12,10,9,40,1,13,1
2015-10-13,10,18,103,0,22,10
2015-10-14,15,11,83,0,6,2
2015-10-15,9,18,67,0,21,10
2015-10-16,19,13,93,0,16,5
2015-10-17,17,6,95,0,15,3
2015-10-18,8,9,45,0,16,0
2015-10-19,16,9,108,0,11,4
2015-10-20,8,12,101,0,17,7
2015-10-21,11,9,84,0,13,5
2015-10-22,17,13,83,0,12,4
2015-10-23,8,12,88,0,14,2
2015-10-24,7,6,94,0,7,7
2015-10-25,10,4,45,0,10,0
2015-10-26,6,13,82,0,15,4
2015-10-27,12,8,74,0,10,3
2015-10-28,14,2,84,0,13,3
2015-10-29,14,8,93,0,19,7
2015-10-30,14,10,115,0,14,3
2015-10-31,17,6,81,0,21,12
2015-11-01,13,8,42,0,4,8
2015-11-02,5,9,41,0,7,4
2015-11-03,21,13,81,0,6,1
2015-11-04,10,3,91,0,19,6
2015-11-05,5,18,100,0,12,5
2015-11-06,14,12,112,0,4,2
2015-11-07,15,4,90,0,11,3
2015-11-08,8,12,41,0,10,5
2015-11-09,6,5,82,0,14,5
2015-11-10,12,17,110,0,14,5
2015-11-11,8,21,109,0,9,4
2015-11-12,14,9,75,0,15,3
2015-11-13,15,10,98,0,10,2
2015-11-14,7,5,69,0,8,8
2015-11-15,7,9,40,0,13,3
2015-11-16,6,11,38,0,18,3
2015-11-17,13,10,96,0,19,9
2015-11-18,9,12,84,0,17,17
2015-11-19,10,12,79,0,15,7
2015-11-20,11,14,91,0,10,7
2015-11-21,10,13,80,0,5,5
2015-11-22,12,5,61,0,8,4
2015-11-23,13,13,100,0,19,5
2015-11-24,8,7,89,0,16,4
2015-11-25,10,13,85,0,18,4
2015-11-26,14,10,96,0,11,3
2015-11-27,11,12,104,0,5,5
2015-11-28,14,10,85,0,19,0
2015-11-29,6,8,47,0,10,1
2015-11-30,11,8,74,0,18,4
2015-12-01,16,14,91,0,17,5
2015-12-02,13,9,105,0,7,1
2015-12-03,8,17,106,0,19,5
2015-12-04,10,13,89,0,11,4
2015-12-05,27,6,93,0,13,5
2015-12-06,8,11,35,0,9,1
2015-12-07,12,17,126,0,12,2
2015-12-08,15,5,67,0,9,5
2015-12-09,12,9,104,0,9,3
2015-12-10,15,8,91,0,8,10
2015-12-11,10,9,82,0,12,3
2015-12-12,11,13,108,0,8,4
2015-12-13,17,9,58,0,13,2
2015-12-14,11,12,98,0,10,8
2015-12-15,13,11,96,0,19,4
2015-12-16,13,6,115,0,22,6
2015-12-17,15,11,78,0,13,1
2015-12-18,16,7,97,0,16,8
2015-12-19,17,5,91,0,14,5
2015-12-20,18,8,56,0,9,5
2015-12-21,8,12,84,0,14,4
2015-12-22,9,8,110,0,19,5
2015-12-23,11,11,87,0,7,5
2015-12-24,19,11,81,0,15,2
2015-12-25,13,4,40,0,10,4
2015-12-26,9,12,47,0,13,2
2015-12-27,11,5,33,0,9,8
2015-12-28,12,8,69,0,5,3
2015-12-29,10,3,85,0,2,3
2015-12-30,9,9,92,0,8,2
2015-12-31,16,10,46,0,8,1
2016-01-01,14,11,33,0,8,3
2016-01-02,5,6,38,0,4,8
2016-01-03,8,6,34,0,7,8
2016-01-04,6,16,57,0,14,4
2016-01-05,10,9,53,0,16,2
2016-01-06,3,7,71,0,13,1
2016-01-07,12,8,63,0,6,6
2016-01-08,9,6,64,0,17,2
2016-01-09,10,4,44,0,15,1
2016-01-10,11,6,41,0,9,0
2016-01-11,3,11,31,0,7,4
2016-01-12,12,4,74,0,13,5
2016-01-13,6,8,87,0,14,5
2016-01-14,8,7,68,0,21,1
2016-01-15,10,7,82,0,20,0
2016-01-16,9,14,91,0,9,6
2016-01-17,12,3,41,0,8,2
2016-01-18,15,14,87,0,15,2
2016-01-19,15,5,104,0,12,0
2016-01-20,19,14,91,0,11,4
2016-01-21,11,11,77,0,10,3
2016-01-22,7,17,94,0,13,3
2016-01-23,18,5,69,0,7,3
