FECHA,AÑO,DÍA_SEMANA,MES,SEMANA,DÍA_FESTIVO,DÍA_DE_MADRES,DICIEMBRE_24,DICIEMBRE_31,PREDICCIÓN_CHOQUES_DIARIOS
2020-06-01,2020,1,6,23,0,0,0,0,83.75666666666666
2020-06-02,2020,2,6,23,0,0,0,0,89.75526587301587
2020-06-03,2020,3,6,23,0,0,0,0,94.4834087301587
2020-06-04,2020,4,6,23,0,0,0,0,80.85242063492063
2020-06-05,2020,5,6,23,0,0,0,0,86.14759523809524
2020-06-06,2020,6,6,23,0,0,0,0,94.16801984126984
2020-06-07,2020,7,6,23,0,0,0,0,51.65502380952379
2020-06-08,2020,1,6,24,0,0,0,0,85.61066666666666
2020-06-09,2020,2,6,24,0,0,0,0,92.9405714285714
2020-06-10,2020,3,6,24,0,0,0,0,102.92778174603174
2020-06-11,2020,4,6,24,0,0,0,0,79.87599206349205
2020-06-12,2020,5,6,24,0,0,0,0,89.30189682539684
2020-06-13,2020,6,6,24,0,0,0,0,83.48153571428571
2020-06-14,2020,7,6,24,0,0,0,0,53.82574999999998
2020-06-15,2020,1,6,25,1,0,0,0,44.31666666666667
2020-06-16,2020,2,6,25,0,0,0,0,85.17684126984126
2020-06-17,2020,3,6,25,0,0,0,0,84.49070238095241
2020-06-18,2020,4,6,25,0,0,0,0,84.19580086580086
2020-06-19,2020,5,6,25,0,0,0,0,89.5421031746032
2020-06-20,2020,6,6,25,0,0,0,0,81.76238095238095
2020-06-21,2020,7,6,25,0,0,0,0,50.12357936507936
2020-06-22,2020,1,6,26,1,0,0,0,45.64166666666667
2020-06-23,2020,2,6,26,0,0,0,0,79.1863928571429
2020-06-24,2020,3,6,26,0,0,0,0,86.70044841269845
2020-06-25,2020,4,6,26,0,0,0,0,62.56715873015869
2020-06-26,2020,5,6,26,0,0,0,0,84.4781666666667
2020-06-27,2020,6,6,26,0,0,0,0,72.82916666666665
2020-06-28,2020,7,6,26,0,0,0,0,35.709563492063495
2020-06-29,2020,1,6,27,1,0,0,0,42.60666666666666
2020-06-30,2020,2,6,27,0,0,0,0,93.21888095238097
2020-07-01,2020,3,7,27,0,0,0,0,86.27531746031747
2020-07-02,2020,4,7,27,0,0,0,0,81.29771067821068
2020-07-03,2020,5,7,27,0,0,0,0,73.61887301587302
2020-07-04,2020,6,7,27,0,0,0,0,81.80370634920634
2020-07-05,2020,7,7,27,0,0,0,0,44.10037698412699
2020-07-06,2020,1,7,28,0,0,0,0,89.91209310134309
2020-07-07,2020,2,7,28,0,0,0,0,87.70357936507936
2020-07-08,2020,3,7,28,0,0,0,0,89.22092568542568
2020-07-09,2020,4,7,28,0,0,0,0,86.13700685425685
2020-07-10,2020,5,7,28,0,0,0,0,92.44900505050502
2020-07-11,2020,6,7,28,0,0,0,0,74.27548412698414
2020-07-12,2020,7,7,28,0,0,0,0,49.399738095238106
2020-07-13,2020,1,7,29,0,0,0,0,98.40327092352092
2020-07-14,2020,2,7,29,0,0,0,0,92.56888600288603
2020-07-15,2020,3,7,29,0,0,0,0,91.29422222222223
2020-07-16,2020,4,7,29,0,0,0,0,91.56640873015873
2020-07-17,2020,5,7,29,0,0,0,0,93.11763492063496
2020-07-18,2020,6,7,29,0,0,0,0,80.78592352092352
2020-07-19,2020,7,7,29,0,0,0,0,41.65934126984127
2020-07-20,2020,1,7,30,1,0,0,0,48.08
2020-07-21,2020,2,7,30,0,0,0,0,94.5142243867244
2020-07-22,2020,3,7,30,0,0,0,0,85.53541666666666
2020-07-23,2020,4,7,30,0,0,0,0,88.89734706959707
2020-07-24,2020,5,7,30,0,0,0,0,98.54116594516596
2020-07-25,2020,6,7,30,0,0,0,0,84.78744516594516
2020-07-26,2020,7,7,30,0,0,0,0,44.538262210012206
2020-07-27,2020,1,7,31,0,0,0,0,102.56134920634923
2020-07-28,2020,2,7,31,0,0,0,0,86.22866666666667
2020-07-29,2020,3,7,31,0,0,0,0,94.06490476190476
2020-07-30,2020,4,7,31,0,0,0,0,82.10003174603175
2020-07-31,2020,5,7,31,0,0,0,0,105.7715873015873
2020-08-01,2020,6,8,31,0,0,0,0,86.7668398268398
2020-08-02,2020,7,8,31,0,0,0,0,56.814419913419904
2020-08-03,2020,1,8,32,0,0,0,0,91.61372619047619
2020-08-04,2020,2,8,32,0,0,0,0,100.7267738095238
2020-08-05,2020,3,8,32,0,0,0,0,105.200090964591
2020-08-06,2020,4,8,32,0,0,0,0,97.82716666666666
2020-08-07,2020,5,8,32,1,0,0,0,59.33
2020-08-08,2020,6,8,32,0,0,0,0,90.97332720057719
2020-08-09,2020,7,8,32,0,0,0,0,52.123273088023105
2020-08-10,2020,1,8,33,0,0,0,0,93.3235865800866
2020-08-11,2020,2,8,33,0,0,0,0,91.34609271284269
2020-08-12,2020,3,8,33,0,0,0,0,90.53213888888888
2020-08-13,2020,4,8,33,0,0,0,0,97.2435183982684
2020-08-14,2020,5,8,33,0,0,0,0,105.72338275613278
2020-08-15,2020,6,8,33,0,0,0,0,85.95177380952381
2020-08-16,2020,7,8,33,0,0,0,0,45.11698629148629
2020-08-17,2020,1,8,34,1,0,0,0,43.06366666666667
2020-08-18,2020,2,8,34,0,0,0,0,95.50638888888889
2020-08-19,2020,3,8,34,0,0,0,0,86.30214357864357
2020-08-20,2020,4,8,34,0,0,0,0,88.93866544566544
2020-08-21,2020,5,8,34,0,0,0,0,96.23708608058607
2020-08-22,2020,6,8,34,0,0,0,0,77.64947041847041
2020-08-23,2020,7,8,34,0,0,0,0,44.622306277056275
2020-08-24,2020,1,8,35,0,0,0,0,91.40169047619048
2020-08-25,2020,2,8,35,0,0,0,0,83.077753968254
2020-08-26,2020,3,8,35,0,0,0,0,74.62397258297258
2020-08-27,2020,4,8,35,0,0,0,0,79.88153479853479
2020-08-28,2020,5,8,35,0,0,0,0,95.43952380952379
2020-08-29,2020,6,8,35,0,0,0,0,85.59141558441559
2020-08-30,2020,7,8,35,0,0,0,0,47.514023809523806
2020-08-31,2020,1,8,36,0,0,0,0,82.99972619047618
2020-09-01,2020,2,9,36,0,0,0,0,92.01881746031748
2020-09-02,2020,3,9,36,0,0,0,0,93.91056746031747
2020-09-03,2020,4,9,36,0,0,0,0,97.06405158730158
2020-09-04,2020,5,9,36,0,0,0,0,93.84650468975465
2020-09-05,2020,6,9,36,0,0,0,0,83.12419047619046
2020-09-06,2020,7,9,36,0,0,0,0,49.644238095238094
2020-09-07,2020,1,9,37,0,0,0,0,91.43637698412698
2020-09-08,2020,2,9,37,0,0,0,0,83.38710012210011
2020-09-09,2020,3,9,37,0,0,0,0,86.5372655122655
2020-09-10,2020,4,9,37,0,0,0,0,92.2168611111111
2020-09-11,2020,5,9,37,0,0,0,0,106.71788492063492
2020-09-12,2020,6,9,37,0,0,0,0,90.69849999999998
2020-09-13,2020,7,9,37,0,0,0,0,52.69786904761906
2020-09-14,2020,1,9,38,0,0,0,0,94.94976587301589
2020-09-15,2020,2,9,38,0,0,0,0,93.27069047619047
2020-09-16,2020,3,9,38,0,0,0,0,87.47298701298699
2020-09-17,2020,4,9,38,0,0,0,0,91.72966125541126
2020-09-18,2020,5,9,38,0,0,0,0,98.51392532467534
2020-09-19,2020,6,9,38,0,0,0,0,89.94518253968259
2020-09-20,2020,7,9,38,0,0,0,0,50.154325396825406
2020-09-21,2020,1,9,39,0,0,0,0,88.08770634920637
2020-09-22,2020,2,9,39,0,0,0,0,91.62225793650794
2020-09-23,2020,3,9,39,0,0,0,0,79.28499783549782
2020-09-24,2020,4,9,39,0,0,0,0,86.94113744588745
2020-09-25,2020,5,9,39,0,0,0,0,95.13588924963926
2020-09-26,2020,6,9,39,0,0,0,0,84.82755158730158
2020-09-27,2020,7,9,39,0,0,0,0,46.5127023809524
2020-09-28,2020,1,9,40,0,0,0,0,89.99221428571427
2020-09-29,2020,2,9,40,0,0,0,0,96.00575
2020-09-30,2020,3,9,40,0,0,0,0,88.05342857142858
2020-10-01,2020,4,10,40,0,0,0,0,93.91951190476193
2020-10-02,2020,5,10,40,0,0,0,0,99.9079841269841
2020-10-03,2020,6,10,40,0,0,0,0,88.96446031746035
2020-10-04,2020,7,10,40,0,0,0,0,56.19660317460317
2020-10-05,2020,1,10,41,0,0,0,0,85.39045454545455
2020-10-06,2020,2,10,41,0,0,0,0,86.48128601953604
2020-10-07,2020,3,10,41,0,0,0,0,83.7731414141414
2020-10-08,2020,4,10,41,0,0,0,0,82.21399747474747
2020-10-09,2020,5,10,41,0,0,0,0,92.90228174603173
2020-10-10,2020,6,10,41,0,0,0,0,82.80971320346318
2020-10-11,2020,7,10,41,0,0,0,0,43.427500000000016
2020-10-12,2020,1,10,42,1,0,0,0,42.7560992063492
2020-10-13,2020,2,10,42,0,0,0,0,99.63209126984125
2020-10-14,2020,3,10,42,0,0,0,0,85.87928449328452
2020-10-15,2020,4,10,42,0,0,0,0,74.62492307692305
2020-10-16,2020,5,10,42,0,0,0,0,98.71023989898991
2020-10-17,2020,6,10,42,0,0,0,0,86.35789935064936
2020-10-18,2020,7,10,42,0,0,0,0,43.88261507936508
2020-10-19,2020,1,10,43,0,0,0,0,84.8967380952381
2020-10-20,2020,2,10,43,0,0,0,0,86.50259848484852
2020-10-21,2020,3,10,43,0,0,0,0,89.3823593073593
2020-10-22,2020,4,10,43,0,0,0,0,89.71952994227995
2020-10-23,2020,5,10,43,0,0,0,0,92.09884523809528
2020-10-24,2020,6,10,43,0,0,0,0,87.57893795093798
2020-10-25,2020,7,10,43,0,0,0,0,46.98765079365079
2020-10-26,2020,1,10,44,0,0,0,0,89.47977380952385
2020-10-27,2020,2,10,44,0,0,0,0,92.11192857142858
2020-10-28,2020,3,10,44,0,0,0,0,99.24229365079364
2020-10-29,2020,4,10,44,0,0,0,0,93.45538095238095
2020-10-30,2020,5,10,44,0,0,0,0,100.00755952380952
2020-10-31,2020,6,10,44,0,0,0,0,83.25634523809524
2020-11-01,2020,7,11,44,0,0,0,0,47.050302669552686
2020-11-02,2020,1,11,45,1,0,0,0,40.81988095238095
2020-11-03,2020,2,11,45,0,0,0,0,92.90278607503608
2020-11-04,2020,3,11,45,0,0,0,0,84.90278210678211
2020-11-05,2020,4,11,45,0,0,0,0,84.00739682539684
2020-11-06,2020,5,11,45,0,0,0,0,91.21152020202022
2020-11-07,2020,6,11,45,0,0,0,0,77.92523412698415
2020-11-08,2020,7,11,45,0,0,0,0,46.053741258741255
2020-11-09,2020,1,11,46,0,0,0,0,87.27280952380951
2020-11-10,2020,2,11,46,0,0,0,0,106.44533730158732
2020-11-11,2020,3,11,46,0,0,0,0,88.96118650793649
2020-11-12,2020,4,11,46,0,0,0,0,84.22265909090913
2020-11-13,2020,5,11,46,0,0,0,0,104.68481529581524
2020-11-14,2020,6,11,46,0,0,0,0,90.5301165223665
2020-11-15,2020,7,11,46,0,0,0,0,46.56590945165945
2020-11-16,2020,1,11,47,1,0,0,0,39.04983333333334
2020-11-17,2020,2,11,47,0,0,0,0,83.46338492063492
2020-11-18,2020,3,11,47,0,0,0,0,92.53591738816736
2020-11-19,2020,4,11,47,0,0,0,0,81.99758405483404
2020-11-20,2020,5,11,47,0,0,0,0,96.35811255411254
2020-11-21,2020,6,11,47,0,0,0,0,83.39175102675102
2020-11-22,2020,7,11,47,0,0,0,0,55.28598809523811
2020-11-23,2020,1,11,48,0,0,0,0,89.19018055555553
2020-11-24,2020,2,11,48,0,0,0,0,85.96756565656564
2020-11-25,2020,3,11,48,0,0,0,0,88.35864610389612
2020-11-26,2020,4,11,48,0,0,0,0,86.9380158730159
2020-11-27,2020,5,11,48,0,0,0,0,80.84843650793653
2020-11-28,2020,6,11,48,0,0,0,0,82.73601190476191
2020-11-29,2020,7,11,48,0,0,0,0,50.673
2020-11-30,2020,1,11,49,0,0,0,0,82.4818611111111
2020-12-01,2020,2,12,49,0,0,0,0,97.99584920634923
2020-12-02,2020,3,12,49,0,0,0,0,99.91468903318906
2020-12-03,2020,4,12,49,0,0,0,0,97.86548931623936
2020-12-04,2020,5,12,49,0,0,0,0,96.79908333333333
2020-12-05,2020,6,12,49,0,0,0,0,89.09654040404041
2020-12-06,2020,7,12,49,0,0,0,0,49.33564898989899
2020-12-07,2020,1,12,50,0,0,0,0,108.20745887445888
2020-12-08,2020,2,12,50,1,0,0,0,58.675
2020-12-09,2020,3,12,50,0,0,0,0,89.44591025641029
2020-12-10,2020,4,12,50,0,0,0,0,93.12678174603174
2020-12-11,2020,5,12,50,0,0,0,0,96.41614898989901
2020-12-12,2020,6,12,50,0,0,0,0,83.9353838383838
2020-12-13,2020,7,12,50,0,0,0,0,61.36353255078254
2020-12-14,2020,1,12,51,0,0,0,0,85.4597463924964
2020-12-15,2020,2,12,51,0,0,0,0,101.64521825396825
